team,players,weekly,annual
Manchester City,61,5211401,270992872
Manchester Utd,60,4668844,242779887
Chelsea,71,4443518,231062958
Arsenal,51,4373711,227432965
Liverpool,60,3325255,172913278
Aston Villa,68,2776192,144361995
Tottenham,66,2705714,140697102
Newcastle Utd,62,2666111,138637776
West Ham,54,2329155,121116085
Everton,54,1843859,95880658
Crystal Palace,63,1802243,93716625
Fulham,53,1765997,91831819
Leicester City,57,1688806,87817887
Nott'ham Forest,62,1639135,85235009
Brighton,71,1599532,83175683
Southampton,68,1446493,75217626
Bournemouth,56,1412260,73437533
Wolves,70,1374000,71448017
Brentford,57,1070606,55671515
Ipswich Town,56,883334,45933362
